id,publication_year,cited_by_count,author_ids
https://openalex.org/W2047940964,2004.0,7318,"['https://openalex.org/A5014647140', 'https://openalex.org/A5067142016', 'https://openalex.org/A5008033989']"
https://openalex.org/W3103362336,2018.0,6724,"['https://openalex.org/A5014647140', 'https://openalex.org/A5082953212', 'https://openalex.org/A5067142016']"
https://openalex.org/W2157082398,2008.0,2162,"['https://openalex.org/A5014647140', 'https://openalex.org/A5008033989', 'https://openalex.org/A5067142016']"
https://openalex.org/W2061099285,2010.0,948,"['https://openalex.org/A5069948947', 'https://openalex.org/A5078253058', 'https://openalex.org/A5014647140']"
https://openalex.org/W2102017123,2015.0,592,"['https://openalex.org/A5014647140', 'https://openalex.org/A5027903946', 'https://openalex.org/A5027079032']"
https://openalex.org/W2115682136,2007.0,333,"['https://openalex.org/A5014647140', 'https://openalex.org/A5000038347', 'https://openalex.org/A5032779977']"
https://openalex.org/W3016551095,2020.0,325,"['https://openalex.org/A5002429891', 'https://openalex.org/A5055922255']"
https://openalex.org/W3022499311,2020.0,272,"['https://openalex.org/A5083303782', 'https://openalex.org/A5034076566', 'https://openalex.org/A5016098704', 'https://openalex.org/A5023997241']"
https://openalex.org/W2074562205,2014.0,269,"['https://openalex.org/A5110544572', 'https://openalex.org/A5014647140']"
https://openalex.org/W3169823389,2021.0,210,"['https://openalex.org/A5055204791', 'https://openalex.org/A5039380414', 'https://openalex.org/A5030874155', 'https://openalex.org/A5052946514']"
https://openalex.org/W4403839497,2024.0,193,"['https://openalex.org/A5057083249', 'https://openalex.org/A5064296964', 'https://openalex.org/A5079825006']"
https://openalex.org/W2765538454,2017.0,172,"['https://openalex.org/A5039995516', 'https://openalex.org/A5103264849', 'https://openalex.org/A5075497327', 'https://openalex.org/A5058635743']"
https://openalex.org/W3023751895,2020.0,165,"['https://openalex.org/A5064296964', 'https://openalex.org/A5071122166', 'https://openalex.org/A5101702632', 'https://openalex.org/A5057243118', 'https://openalex.org/A5087990460', 'https://openalex.org/A5007176508']"
https://openalex.org/W3021340442,2005.0,164,"['https://openalex.org/A5014647140', 'https://openalex.org/A5008033989']"
https://openalex.org/W2108349167,2014.0,162,"['https://openalex.org/A5039995516', 'https://openalex.org/A5027320968', 'https://openalex.org/A5027462458', 'https://openalex.org/A5016314032', 'https://openalex.org/A5088459011', 'https://openalex.org/A5046029043', 'https://openalex.org/A5071024354']"
https://openalex.org/W2787192533,2018.0,159,"['https://openalex.org/A5063175331', 'https://openalex.org/A5073734131', 'https://openalex.org/A5039995516', 'https://openalex.org/A5071024354']"
https://openalex.org/W3189072387,2021.0,151,"['https://openalex.org/A5011168888', 'https://openalex.org/A5030987696', 'https://openalex.org/A5014647140', 'https://openalex.org/A5080732494', 'https://openalex.org/A5054707908', 'https://openalex.org/A5000679279']"
https://openalex.org/W3016912674,2020.0,150,"['https://openalex.org/A5103264849', 'https://openalex.org/A5039995516']"
https://openalex.org/W2076371934,2014.0,142,"['https://openalex.org/A5022713919', 'https://openalex.org/A5029191515', 'https://openalex.org/A5083303782']"
https://openalex.org/W2155058903,2008.0,142,"['https://openalex.org/A5014647140', 'https://openalex.org/A5008033989', 'https://openalex.org/A5067142016']"
https://openalex.org/W4321606060,2023.0,139,"['https://openalex.org/A5002429891', 'https://openalex.org/A5084047616', None, None]"
https://openalex.org/W2565597050,2017.0,130,"['https://openalex.org/A5048132210', 'https://openalex.org/A5054519023', 'https://openalex.org/A5014647140', 'https://openalex.org/A5027079032']"
https://openalex.org/W4301913819,1998.0,125,"['https://openalex.org/A5087469787', 'https://openalex.org/A5066702972', 'https://openalex.org/A5050073085', 'https://openalex.org/A5021956373', 'https://openalex.org/A5074994048', 'https://openalex.org/A5068763840']"
https://openalex.org/W3044372531,2020.0,123,"['https://openalex.org/A5084131035', 'https://openalex.org/A5074873398', 'https://openalex.org/A5045602714', 'https://openalex.org/A5061189496', 'https://openalex.org/A5049836770', 'https://openalex.org/A5067493080']"
https://openalex.org/W2943044629,2019.0,116,"['https://openalex.org/A5063175331', 'https://openalex.org/A5039995516', 'https://openalex.org/A5035352636']"
https://openalex.org/W2891704284,2019.0,115,"['https://openalex.org/A5058731900', 'https://openalex.org/A5082313934', 'https://openalex.org/A5067142016']"
https://openalex.org/W4230233942,2019.0,111,"['https://openalex.org/A5041903789', 'https://openalex.org/A5040234818', 'https://openalex.org/A5012030771']"
https://openalex.org/W2130179853,2013.0,100,"['https://openalex.org/A5039995516', 'https://openalex.org/A5088459011', 'https://openalex.org/A5027320968', 'https://openalex.org/A5074409311', 'https://openalex.org/A5071024354']"
https://openalex.org/W2190695285,2015.0,95,"['https://openalex.org/A5057805026', 'https://openalex.org/A5090745602', 'https://openalex.org/A5029120616']"
https://openalex.org/W2584193358,2017.0,89,"['https://openalex.org/A5027320968', 'https://openalex.org/A5039995516', 'https://openalex.org/A5089509156', 'https://openalex.org/A5071024354']"
https://openalex.org/W2096463447,2011.0,86,"['https://openalex.org/A5012185534', 'https://openalex.org/A5027647763', 'https://openalex.org/A5067493080', 'https://openalex.org/A5048615390']"
https://openalex.org/W3167179910,2021.0,85,"['https://openalex.org/A5014833581', 'https://openalex.org/A5082161404', 'https://openalex.org/A5066731285', 'https://openalex.org/A5085896707', 'https://openalex.org/A5030510688', 'https://openalex.org/A5101787387', 'https://openalex.org/A5090745602']"
https://openalex.org/W3197182080,2021.0,81,"['https://openalex.org/A5064296964', 'https://openalex.org/A5027814433', 'https://openalex.org/A5071294124', 'https://openalex.org/A5000679279']"
